0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,2.83,2.85,2.79,2.81,-0.02,-0.71,"763,543",,,,,
2025-05-28,2.80,2.84,2.80,2.83,0.04,1.43,"616,101",,,,,
2025-05-27,2.86,2.87,2.77,2.79,-0.06,-2.11,"1,137,455",,,,,
2025-05-26,2.91,2.91,2.81,2.85,-0.04,-1.38,"658,096",,,,,
2025-05-25,2.92,2.92,2.87,2.89,-0.01,-0.34,"403,791",,,,,
2025-05-22,2.94,2.94,2.90,2.90,-0.05,-1.69,"453,998",,,,,
2025-05-21,2.94,2.97,2.92,2.95,0.00,0.00,"378,767",,,,,
2025-05-20,2.98,2.99,2.93,2.95,-0.03,-1.01,"588,120",,,,,
2025-05-19,2.96,2.99,2.95,2.98,0.01,0.34,"560,024",,,,,
2025-05-18,3.01,3.02,2.97,2.97,-0.04,-1.33,"511,930",,,,,
2025-05-15,3.05,3.05,2.98,3.01,-0.04,-1.31,"1,212,515",,,,,
2025-05-14,2.97,3.06,2.97,3.05,0.08,2.69,"2,236,096",,,,,
2025-05-13,3.03,3.03,2.96,2.97,-0.03,-1.00,"917,190",,,,,
2025-05-12,2.94,3.01,2.94,3.00,0.06,2.04,"1,585,276",,,,,
2025-05-11,2.93,2.98,2.93,2.94,0.00,0.00,"658,367",,,,,
2025-05-08,2.97,2.98,2.93,2.94,-0.03,-1.01,"596,336",,,,,
2025-05-07,2.99,2.99,2.94,2.97,-0.02,-0.67,"1,415,593",,,,,
2025-05-06,3.04,3.07,2.97,2.99,-0.07,-2.29,"1,603,857",,,,,
2025-05-05,3.00,3.08,3.00,3.06,0.05,1.66,"621,405",,,,,
2025-05-04,3.05,3.07,3.01,3.01,-0.04,-1.31,"653,655",,,,,
2025-05-01,3.06,3.09,3.02,3.05,-0.03,-0.97,"1,270,334",,,,,
2025-04-30,3.14,3.14,3.07,3.08,-0.07,-2.22,"1,866,457",,,,,
2025-04-29,3.13,3.21,3.12,3.15,0.03,0.96,"3,645,031",,,,,
2025-04-28,3.11,3.16,3.10,3.12,0.02,0.65,"2,208,389",,,,,
2025-04-27,3.10,3.13,3.08,3.10,0.01,0.32,"1,250,887",,,,,
2025-04-24,3.10,3.12,3.05,3.09,0.01,0.32,"1,162,180",,,,,
2025-04-23,3.01,3.15,3.00,3.08,0.08,2.67,"5,139,133",,,,,
2025-04-22,3.00,3.02,2.98,3.00,-0.02,-0.66,"765,525",,,,,
2025-04-21,3.05,3.06,3.01,3.02,-0.03,-0.98,"573,015",,,,,
2025-04-20,3.01,3.06,3.01,3.05,0.04,1.33,"620,573",,,,,
2025-04-17,3.10,3.15,3.00,3.01,-0.09,-2.90,"3,692,524",,,,,
2025-04-16,3.01,3.12,2.99,3.10,0.10,3.33,"2,870,529",,,,,
