0,1,2,3,4,5,6,7,8,9
2025-05-29,79.90,82.80,79.10,82.60,3.30,4.16,"395,326",,
2025-05-28,78.10,80.70,78.00,79.30,1.20,1.54,"498,510",,
2025-05-27,80.80,80.80,76.90,78.10,-2.70,-3.34,"422,004",,
2025-05-26,82.40,83.00,79.30,80.80,-1.60,-1.94,"427,232",,
2025-05-25,83.00,84.30,81.90,82.40,-1.20,-1.44,"232,142",,
2025-05-22,85.00,85.30,83.00,83.60,-1.20,-1.42,"320,170",,
2025-05-21,85.60,86.30,84.80,84.80,-0.80,-0.93,"634,594",,
2025-05-20,83.80,85.60,83.60,85.60,1.80,2.15,"294,801",,
2025-05-19,86.00,86.00,83.40,83.80,-2.20,-2.56,"259,933",,
2025-05-18,85.70,86.70,85.10,86.00,0.50,0.58,"393,012",,
2025-05-15,86.30,87.30,84.90,85.50,-0.80,-0.93,"3,146,128",,
2025-05-14,85.40,88.40,85.40,86.30,1.00,1.17,"1,021,150",,
2025-05-13,83.10,86.00,83.00,85.30,2.30,2.77,"825,089",,
2025-05-12,82.60,84.50,82.60,83.00,0.40,0.48,"648,981",,
2025-05-11,83.30,83.50,82.40,82.60,0.30,0.36,"125,274",,
2025-05-08,83.50,83.50,82.30,82.30,-1.20,-1.44,"241,460",,
2025-05-07,83.80,83.80,82.10,83.50,-0.30,-0.36,"153,593",,
2025-05-06,84.00,85.60,83.50,83.80,-0.20,-0.24,"341,875",,
2025-05-05,82.40,84.60,81.50,84.00,1.70,2.07,"344,841",,
2025-05-04,83.50,83.90,82.30,82.30,-1.20,-1.44,"322,434",,
2025-05-01,85.10,85.40,82.70,83.50,-1.90,-2.22,"538,923",,
2025-04-30,85.00,87.30,81.80,85.40,0.40,0.47,"1,741,107",,
2025-04-29,86.00,86.00,84.60,85.00,-0.70,-0.82,"201,345",,
2025-04-28,86.40,87.00,85.00,85.70,-0.40,-0.46,"317,265",,
2025-04-27,84.00,86.20,83.30,86.10,2.30,2.74,"401,312",,
2025-04-24,83.80,84.20,83.30,83.80,0.00,0.00,"198,437",,
2025-04-23,83.80,85.20,82.90,83.80,1.10,1.33,"419,964",,
2025-04-22,85.10,87.10,82.40,82.70,-2.30,-2.71,"1,084,907",,
2025-04-21,85.60,85.80,84.80,85.00,-0.50,-0.58,"236,110",,
2025-04-20,83.90,86.50,83.90,85.50,1.80,2.15,"373,713",,
2025-04-17,82.00,85.50,82.00,83.70,0.90,1.09,"868,410",,
2025-04-16,84.00,84.80,81.80,82.80,-1.20,-1.43,"729,864",,
2025-04-15,79.80,84.50,79.50,84.00,5.00,6.33,"1,286,971",,
2025-04-14,80.00,80.00,78.70,79.00,-0.50,-0.63,"309,358",,
2025-04-13,79.10,80.90,78.50,79.50,1.60,2.05,"475,642",,
2025-04-10,82.00,82.30,77.00,77.90,2.10,2.77,"1,097,348",,
2025-04-09,74.90,81.30,74.20,75.80,0.80,1.07,"1,678,326",,
2025-04-08,73.60,77.90,73.00,75.00,2.50,3.45,"1,441,758",,
2025-04-07,70.00,73.10,67.70,72.50,-0.70,-0.96,"1,245,865",,
2025-04-06,77.20,77.20,73.20,73.20,-8.10,-9.96,"731,898",,
2025-04-03,79.90,81.90,79.30,81.30,-0.60,-0.73,"364,257",,
2025-03-27,79.90,81.90,79.70,81.90,2.00,2.50,"405,950",,
2025-03-26,78.10,80.00,78.00,79.90,1.90,2.44,"418,257",,
2025-03-25,78.60,79.00,77.70,78.00,0.00,0.00,"279,706",,
2025-03-24,79.70,82.30,77.90,78.00,-0.40,-0.51,"1,064,340",,
2025-03-23,80.00,80.00,77.60,78.40,-1.50,-1.88,"198,883",,
2025-03-20,79.70,81.70,79.20,79.90,0.30,0.38,"429,012",,
2025-03-19,77.80,80.00,77.00,79.60,2.00,2.58,"691,149",,
2025-03-18,80.70,80.70,76.60,77.60,-1.50,-1.90,"1,115,879",,
2025-03-17,80.20,82.00,79.10,79.10,-0.60,-0.75,"1,527,906",,
2025-03-16,79.50,83.00,77.70,79.70,0.70,0.89,"5,967,853",,
2025-03-13,72.00,79.00,72.00,79.00,7.10,9.87,"18,146,224",,
2025-03-12,75.00,75.00,71.30,71.90,-1.90,-2.57,"1,227,626",,
2025-03-11,72.00,75.20,69.40,73.80,1.30,1.79,"916,614",,
2025-03-10,77.20,78.50,71.80,72.50,-6.10,-7.76,"855,762",,
2025-03-09,78.40,79.50,76.10,78.60,0.40,0.51,"357,221",,
2025-03-06,81.00,81.70,73.80,78.20,-3.80,-4.63,"1,823,085",,
2025-03-05,86.60,86.60,80.10,82.00,-3.70,-4.32,"1,013,006",,
